id	tweet	subtask_a	subtask_b	subtask_c
56117	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL	OFF	TIN	IND
67757	@USER @USER You are correct.	NOT	NULL	NULL
12681	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?	OFF	TIN	GRP
82904	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔	OFF	TIN	GRP
63236	@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL	NOT	NULL	NULL
77665	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..	OFF	TIN	IND
83484	"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising"""	NOT	NULL	NULL
74932	@USER @USER You can tell he is a hooper too	NOT	NULL	NULL
91252	@USER I feel like he is better chasing the title	NOT	NULL	NULL
25440	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?	OFF	UNT	NULL
81613	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL	NOT	NULL	NULL
82333	@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀	NOT	NULL	NULL
12609	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF	TIN	GRP
13017	@USER No wonder he is being apologetic and more social these day....	NOT	NULL	NULL
18129	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	NOT	NULL	NULL
70380	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	NOT	NULL	NULL
12108	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	OFF	TIN	IND
14726	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	OFF	TIN	GRP
74358	@USER Blow hard	NOT	NULL	NULL
82599	@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	NOT	NULL	NULL
40212	"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	NOT	NULL	NULL
78367	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	NOT	NULL	NULL
66596	3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	NOT	NULL	NULL
70999	.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	NOT	NULL	NULL
36026	"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""	NOT	NULL	NULL
29439	@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	NOT	NULL	NULL
74477	@USER Wow you liberals really don’t have a sense of humor.🙄	NOT	NULL	NULL
49845	@USER I'M SO FUCKING READY	NOT	NULL	NULL
32305	@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	NOT	NULL	NULL
77243	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT	NULL	NULL
73205	@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.	NOT	NULL	NULL
47311	@USER Me too! Her wedding was the best! She is very pretty!	NOT	NULL	NULL
48553	@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	NOT	NULL	NULL
75689	@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes	NOT	NULL	NULL
84102	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	OFF	TIN	GRP
10607	#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL	NOT	NULL	NULL
43913	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	NOT	NULL	NULL
98992	@USER Fuck off	OFF	TIN	IND
92056	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	NOT	NULL	NULL
33853	"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""	OFF	TIN	OTH
75215	@USER @USER She is useless.  Attempts to do the right thing but never follows through.	OFF	TIN	IND
96218	#WalkAway liberals......Your party is POISON. URL	NOT	NULL	NULL
57013	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	OFF	TIN	IND
20883	@USER You are lying. Stick with the facts. We pay more than that now.	NOT	NULL	NULL
74831	@USER Trump kicks dem butt - its so fun.	OFF	TIN	IND
53264	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	OFF	TIN	IND
28204	#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	NOT	NULL	NULL
42024	@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍	NOT	NULL	NULL
84664	@USER And this from the clown that should be in prison?	OFF	TIN	IND
54842	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	NOT	NULL	NULL
48995	@USER Thats because you are an old man.	OFF	TIN	IND
47153	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF	TIN	OTH
76826	"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""	NOT	NULL	NULL
27645	"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things."""	NOT	NULL	NULL
64429	@USER I mean it worked for gun control right? URL	OFF	TIN	GRP
20943	@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	NOT	NULL	NULL
78064	@USER Principled conservatives are #Hypocrickets	NOT	NULL	NULL
14122	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa	NOT	NULL	NULL
72353	@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	NOT	NULL	NULL
39051	@USER Bring out his Antifa criminal son to campaign for him	NOT	NULL	NULL
54546	@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.	NOT	NULL	NULL
50759	A tear is made of 1% water and 99% feelings.	NOT	NULL	NULL
75992	"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"	NOT	NULL	NULL
45068	@USER She is drinking so much koolaid she’s bloated.	OFF	TIN	IND
17259	@USER Holder needs to be prosecuted	NOT	NULL	NULL
95225	@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!	NOT	NULL	NULL
84667	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	OFF	TIN	IND
14574	*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	NOT	NULL	NULL
23784	@USER well...? URL	NOT	NULL	NULL
93119	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	OFF	TIN	IND
30115	"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable."""	NOT	NULL	NULL
69281	@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.	NOT	NULL	NULL
15322	@USER Great news! Old moonbeam Just went into a coma! 😂	NOT	NULL	NULL
75089	@USER OMG HE IS SO EXTRA ILY	NOT	NULL	NULL
21379	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	OFF	TIN	IND
43133	@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	NOT	NULL	NULL
52102	@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	NOT	NULL	NULL
59537	@USER @USER Guy you are always present...bet why? Lol	NOT	NULL	NULL
44209	@USER @USER what a baby! URL	NOT	NULL	NULL
96664	@USER you are very persuasive fam	NOT	NULL	NULL
12559	@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL	NOT	NULL	NULL
61914	@USER Burt. A cool dude.	NOT	NULL	NULL
32317	#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	NOT	NULL	NULL
94767	@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	NOT	NULL	NULL
64835	@USER Kind of like what trump does all the time huh?	NOT	NULL	NULL
41353	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	NOT	NULL	NULL
52252	@USER Fuck em	OFF	TIN	GRP
91001	@USER Good move....he is the big loser	OFF	TIN	IND
18495	@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	NOT	NULL	NULL
76680	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	NOT	NULL	NULL
88013	@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	NOT	NULL	NULL
66349	"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""	OFF	UNT	NULL
80561	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	OFF	TIN	IND
16052	@USER she is idk what's going on	NOT	NULL	NULL
49996	@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	NOT	NULL	NULL
77086	@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	NOT	NULL	NULL
10972	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	NOT	NULL	NULL
69160	@USER The laughs I’ve gotten from you are enough. 😌	NOT	NULL	NULL
28380	@USER @USER @USER well?	NOT	NULL	NULL
40252	@USER @USER @USER First of all— they don’t even have pizza at Panera	NOT	NULL	NULL
39907	@USER @USER @USER please don't kill me. antifa on the other hand...	OFF	TIN	IND
16164	@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	NOT	NULL	NULL
52824	@USER Good girl @USER	NOT	NULL	NULL
77294	@USER @USER She is an ugly black hearted troll URL	OFF	TIN	IND
13420	@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	NOT	NULL	NULL
16940	@USER Dont believe the hype.	OFF	UNT	NULL
83816	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	NOT	NULL	NULL
99156	#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	NOT	NULL	NULL
11255	"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""	NOT	NULL	NULL
28841	@USER @USER We have been saved from you! MAGA!	OFF	TIN	IND
79060	@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	NOT	NULL	NULL
71682	@USER Good riddance.	NOT	NULL	NULL
17577	@USER She is a goddess	NOT	NULL	NULL
27503	"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead"""""	NOT	NULL	NULL
59998	"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""	OFF	TIN	IND
81119	@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	NOT	NULL	NULL
28812	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	OFF	TIN	GRP
84131	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	NOT	NULL	NULL
23179	@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	NOT	NULL	NULL
28601	@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	NOT	NULL	NULL
64776	@USER SJSHSJ THATS MY JOB BITCH	OFF	TIN	IND
95712	@USER Do they discuss Haiti?	NOT	NULL	NULL
69972	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	OFF	TIN	IND
37115	@USER He is very skilled😂😂	NOT	NULL	NULL
80696	@USER You are amazing 💛💛💛	NOT	NULL	NULL
68163	@USER Fist pump was for the troops.	NOT	NULL	NULL
96789	"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""	OFF	TIN	GRP
68629	@USER Let the leftist democrats riot in the streets with their antifa counterparts.	OFF	TIN	IND
66109	@USER I thought Canada had strict gun control.  Help me understand what is happening.	NOT	NULL	NULL
19419	@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	NOT	NULL	NULL
32942	@USER He is doing life tho😑	NOT	NULL	NULL
74285	@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP	NOT	NULL	NULL
77319	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	OFF	TIN	IND
30517	@USER @USER @USER Have you seen or listened to your ANTIFA pals?	NOT	NULL	NULL
69077	@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	NOT	NULL	NULL
67758	@USER Your titles scare me a little bit. ;-)	NOT	NULL	NULL
35944	@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck	NOT	NULL	NULL
48223	@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli	NOT	NULL	NULL
47168	@USER And who seems to be getting things done.	NOT	NULL	NULL
53947	I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2)	NOT	NULL	NULL
49504	@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	OFF	TIN	GRP
66291	@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	NOT	NULL	NULL
31229	@USER This game sucks donkey balls	OFF	TIN	GRP
75850	@USER Yo for real you are gorgeous	NOT	NULL	NULL
88546	@USER Absolutely should be a nail in the coffin.... for Hilliary	OFF	TIN	IND
29241	@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	NOT	NULL	NULL
19842	@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	NOT	NULL	NULL
69232	@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.	NOT	NULL	NULL
36471	@USER @USER Doesn't he partly fund Antifa?	NOT	NULL	NULL
32897	@USER He is a DUMBASS !!!!!	OFF	TIN	IND
62072	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	OFF	TIN	GRP
95444	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	OFF	TIN	IND
51172	@USER @USER O.K. Conservatives get to the polls. Vote red.	NOT	NULL	NULL
62481	@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	OFF	TIN	IND
71895	"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot"""	NOT	NULL	NULL
78366	@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	NOT	NULL	NULL
39021	@USER Oh my Carmen. He is SO FRICKING CUTE	OFF	TIN	IND
68840	@USER Chelsea is as crazy as her mother	OFF	TIN	IND
96837	@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	NOT	NULL	NULL
51815	@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.	NOT	NULL	NULL
62023	"@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""! URL"	NOT	NULL	NULL
10253	@USER @USER you are awesome! Thank you. You give humanity hope!	NOT	NULL	NULL
21367	@USER GOOBER	NOT	NULL	NULL
33797	@USER Another uninformed	NOT	NULL	NULL
11160	@USER I forgot he is their foster child!	NOT	NULL	NULL
32916	"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"""	OFF	TIN	GRP
47427	@USER No fucking way he said this!	NOT	NULL	NULL
87052	@USER @USER Such supposedly smart people didn't think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way.	NOT	NULL	NULL
29556	@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.	NOT	NULL	NULL
18547	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	OFF	TIN	GRP
32688	@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	NOT	NULL	NULL
57850	"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"""	NOT	NULL	NULL
82607	@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	OFF	TIN	GRP
82339	@USER Yes do hurt your selves gun control freaks.	OFF	TIN	GRP
98077	@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL	NOT	NULL	NULL
62815	@USER He always shows dedication at what he does no wonder he is the best URL	NOT	NULL	NULL
34510	@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	OFF	TIN	GRP
53501	@USER the owner of my culo	OFF	TIN	IND
69928	Now she scarred herself for life lol #MAGA URL	OFF	TIN	IND
31853	@USER you fucking -	OFF	TIN	IND
13872	Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF	TIN	GRP
30791	@USER Reagan also signed the first gun control bill as governor of CA	NOT	NULL	NULL
80385	@USER Awe Hogwash do we really need you to overstate the obvious?	NOT	NULL	NULL
54292	30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	NOT	NULL	NULL
28985	I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA	OFF	TIN	OTH
52375	"(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings.""  (3) Who buys .22 caliber handguns? Why? URL"	NOT	NULL	NULL
74004	@USER @USER Leftists showing yet again how vile they can be	OFF	TIN	GRP
70838	@USER He is a drunk crazy man.	OFF	TIN	IND
64577	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL	NOT	NULL	NULL
44448	@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	NOT	NULL	NULL
53928	@USER You are not alone. I was sexually assaulted by a fellow law student in 1978. I never reported it because I didn't think I would be believed. However something happened that made me realize I wasn't his only victim. Then I felt I'd made a colossal mistake.	NOT	NULL	NULL
45337	@USER But Liberals do.	NOT	NULL	NULL
85707	@USER Another terrorist attack not reported by msm	NOT	NULL	NULL
63292	@USER dont know who you are so imma just URL	NOT	NULL	NULL
15991	@USER All that money hadn't made u smarter.	OFF	TIN	IND
25009	@USER Yes!! He is from Gilmer!! It makes me laugh so much!	NOT	NULL	NULL
90990	@USER U both r my lifeline❤🙏😂 @USER	NOT	NULL	NULL
65785	@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	NOT	NULL	NULL
38837	@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉	OFF	UNT	NULL
94182	@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!	NOT	NULL	NULL
77653	@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	NOT	NULL	NULL
27238	@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.	NOT	NULL	NULL
12892	@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	NOT	NULL	NULL
16885	@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	OFF	TIN	GRP
46581	@USER Yes she is	NOT	NULL	NULL
41517	@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.	NOT	NULL	NULL
